"LEAID","YEAR","FIPST","URBANICITY","OPERATIONAL_SCHOOLS","TREATED","V33","A09","C10","C25","A09_PUPIL","C10_PUPIL","C25_PUPIL","ALL_PUPIL","TOTFRL_PCT","BL_PCT","WH_PCT","HI_PCT","CHARTER_PCT","TITLEI_PCT"
200001,10,"02","RURAL",28,14,4170,351000,0,2680000,91.0843866881975,0,695.459134827263,786.54352151546,0.710551558752998,0.00191846522781775,0.0388489208633093,0.00383693045563549,0.0460431654676259,1
200003,10,"02","RURAL",11,14,1980,116000,0,1428000,63.3965574963523,0,780.433483661992,843.830041158344,0.668686868686869,0.000505050505050505,0.00202020202020202,0,0,1
200020,10,"02","RURAL",15,16,1868,134000,0,1256000,77.6248552524006,0,727.588195500113,805.213050752516,0.829764453961456,0.000535331905781585,0.012847965738758,0,0,1
200030,10,"02","RURAL",2,16,178,44000,0,57000,267.48876835927,0,346.519540829055,614.008309188326,0.393258426966292,0,0.348314606741573,0.0224719101123595,0,0.47752808988764
200050,10,"02","RURAL",8,14,417,57000,0,331000,147.914815989381,0,858.943931447105,1006.85874743648,0.611510791366906,0.0119904076738609,0.39568345323741,0.00479616306954436,0,0.820143884892086
200180,10,"02","URBAN",98,14,49206,3982000,0,13206000,87.570145297311,0,290.419723454618,377.989868751929,0.393508921676218,0.0646872332642361,0.472503353249604,0.102223306100882,0.0477787261716051,0.48203471121408
200300,10,"02","RURAL",2,16,124,23000,0,66000,200.714629337033,0,575.963718967138,776.678348304171,0.564516129032258,0.032258064516129,0.0967741935483871,0.0241935483870968,0,1
200330,10,"02","RURAL",1,14,62,16000,0,30000,279.255136468915,0,523.603380879217,802.858517348132,0.951612903225806,0,0.0645161290322581,0,0,1
200485,10,"02","RURAL",15,17,378,55000,0,139000,157.450399364914,0,397.920100213147,555.370499578061,0.67989417989418,0.0132275132275132,0.150793650793651,0.0185185185185185,0,0.994708994708995
200510,10,"02","TOWN",44,14,17079,1311000,0,3904000,83.0640552815826,0,247.354745857588,330.418801139171,0.324901926342292,0.0154575794835763,0.80004684114995,0.0227765091633,0.0786931319163885,0.406873938755196
