"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"0100002","01",7,NA,NA,NA,NA,7,NA,NA,"06","12","21","Urban"
"0100005","01",7,3790,724000,0,1201000,5,"03","3","PK","12","32","Town"
"0100006","01",7,5647,1148000,0,2039000,15,"03","3","PK","12","42","Rural"
"0100007","01",7,12479,3993000,0,1162000,16,"03","3","PK","12","13","Urban"
"0100008","01",7,8298,2450000,0,822000,10,"03","3","PK","12","21","Urban"
"0100009","01",7,NA,NA,NA,NA,4,NA,NA,"PK","12","32","Town"
"0100010","01",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"0100011","01",7,1406,292000,0,389000,3,"03","3","KG","12","21","Urban"
"0100012","01",7,2173,632000,0,665000,5,"03","3","PK","12","32","Town"
"0100013","01",7,4118,1362000,0,256000,4,"03","3","KG","12","21","Urban"
"0100014","01",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"0100015","01",7,NA,NA,NA,NA,5,NA,NA,"N","N","12","Urban"
"0100016","01",7,NA,NA,NA,NA,1,NA,NA,"09","12","12","Urban"
"0100017","01",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"0100018","01",7,NA,NA,NA,NA,1,NA,NA,"07","12","12","Urban"
"0100019","01",7,NA,NA,NA,NA,1,NA,NA,"PK","PK","41","Rural"
"0100020","01",7,NA,NA,NA,NA,1,NA,NA,"02","09","31","Town"
"0100021","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100022","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","42","Rural"
"0100023","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","21","Urban"
"0100024","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","41","Rural"
"0100026","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","41","Rural"
"0100028","01",7,NA,NA,NA,NA,1,NA,NA,"04","08","41","Rural"
"0100029","01",7,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100030","01",7,3476,678000,0,917000,5,"03","3","KG","12","32","Town"
"0100032","01",7,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100033","01",7,NA,NA,NA,NA,5,NA,NA,"N","N","41","Rural"
"0100035","01",7,NA,NA,NA,NA,3,NA,NA,"05","12","42","Rural"
"0100036","01",7,NA,NA,NA,NA,0,NA,NA,"N","N","13","Urban"
"0100037","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100038","01",7,NA,NA,NA,NA,1,NA,NA,"05","11","42","Rural"
"0100039","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","32","Town"
"0100040","01",7,NA,NA,NA,NA,1,NA,NA,"07","09","12","Urban"
"0100041","01",7,NA,NA,NA,NA,1,NA,NA,"09","10","21","Urban"
"0100042","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","13","Urban"
"0100043","01",7,NA,NA,NA,NA,1,NA,NA,"N","N","13","Urban"
"0100044","01",7,NA,NA,NA,NA,1,NA,NA,"07","12","12","Urban"
"0100045","01",7,NA,NA,NA,NA,1,NA,NA,"04","11",NA,NA
"0100046","01",7,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
